english,taagra,pos,syn,notes
becomes,vabazeri,v,,"""He/she/it becomes"", Irregular verb"
bed,taguj,n,,
bedroom,tagujvos,n,,
bedrooms,tagujvosa,n,,
beds,taguja,n,,
beef,siget,n,,
beer,pajap,n,"ale, brew",
beers,pajapa,n,"ales, brews",
before,suno,adv/cj/pr,,
behind,dena,adv/pr,,"Not used informally for ""buttocks"""
below,vasa,adv/pr,"under, beneath",
bend,futh,v,"bends, bending",
bent,futhka,v,,
berries,abeha,n,,
berry,abeho,n,,
beside,vaseve,pr,next,
best,jai'do,adj,,"Lit. ""most good"""
better,saa'do,adj,,"Lit. ""more good"""
between,vakiz,adv/pr,,
beverage,dujrapo,n,drink,
beverages,dujrapa,n,drinks,
beyond,mir,adv/pr,past,"Not used as the noun for ""the unknown after death"""
bird,apash,n,,
birds,apasha,n,,
bit,katatajka,v,,
bite,katataj,v,"bites, biting",To bite
bite,katatajna,n,,A bite
bites,katatajna'a,n,,
black,morto,adj/n,,
blackness,mortona,n,,
blind,vakozay,adj,,
blindness,vakozayna,n,,
bliss,anada,n,euphoria,
blissful,anada'i,adj,euphoric,
blood,keth,n,,
bloody,kethi,adj,gruesome,
blue,dirun,adj/n,,
blues,diruna,n,,
bodies,sha,n,,
body,shu,n,,
bold,peshar,adj,"aggressive, courageous, audacious, brave, daring, valiant, confident",
boldness,pesharna,n,"aggression, courage, audacity, bravery, daring, valiance, confidence",
bone,upom,n,,
bones,upoma,n,,
book,jabo,n,"novel, text, manual, tome",
books,jaba,n,"novels, texts, manuals, tomes",
boot,sotud,n,,
boots,sotuda,n,,
bore,malith,v,"bores, boring",
bored,malithka,v,,
boredom,mala,n,"tedium, monotony",
boring,mali,adj,"tedius, monotonous",
bosmer,dreamer,n,,"Lit. ""wood elf""  (pronounced ""dreh - ah - mer"")"
bosmeri,dreameri,adj,,
bottle,alkith,v,"bottles, bottling",To bottle
bottle,alku,n,"jar, jug, urn, vial, carafe",A bottle
bottled,alkithka,v,,
bottles,alka,n,"jars, jugs, urns, vials, carafes",
bottom,thzoli,adj/n,,
bought,dojthaka,v,purchased,
bow,buno,n,,The weapon
bow,shufuth,v,"bows, bowing","Lit. ""body bend"""
bowed,shufuthka,v,,
bows,buna,n,,The weapons
box,hefe,n,"crate, package",
boxes,hefa,n,"crates, packages",
boy,droj,n,,
boyfriend,aritrevan,n,,"Gender neutral, Lit. ""love friend"""
boyfriends,aritrevan,n,,
boyish,droji,adj,,
boys,droja,n,,
brain,athoku,n,,
brains,athoka,n,,
brave,pesharith,v,"braves, braving, dare, dares, daring",
brave,shurh'do,adj,courageous,
braved,pesharithka,v,dared,
bravery,shurh'dona,n,courage,
bread,barij,n,,
breads,barija,n,,
break,keja,v,"breaks, breaking, destroy, destroys, destroying",
breakfast,baha,n,,
breakfasts,baha'a,n,,
breast,lasho,n,"boob, tit, mammary",
breasts,lasha,n,"boobs, tits, mammaries",
breton,aqomer,n,,"Lit. ""Half Elf"""
bretons,aqomera,n,,
brew,soj,v,"brews, brewing",
brewed,sojka,v,,
brewer,sojiit,n,,
brewers,sojiit,n,,
bridge,pojtri,n,,
bridges,pojtra,n,,
bright,jobal,adj,,
bring,dura,v,"brings, bringing",
broke,kejaka,v,destroyed,
broken,keja'i,adj,damaged,
broth,aigam,n,,
brother,liter,n,,
brotherly,literi,adj,,
brothers,litera,n,,
broths,aigama,n,,
brothy,aigami,adj,,
brought,duraka,v,,
brown,drepa,adj/n,,
browns,drepa'a,n,,
bucket,jay,n,pail,"Spelling changed from ""jei"""
buckets,jay'a,n,pails,
build,dunith,v,"builds, building, assemble, assembles, assembling, construct, constructs, constructing",
builder,duniit,n,,
builders,duniit,n,,
building,dun,n,structure,
buildings,duna,n,structures,
built,dunithka,v,"assembled, constructed",
burn,zrege,v,"burning, burns, ignite, ignites, igniting, singe, singes, singing, scorch, scorching, scorches, incinerate, incinerates, incinerating",
burn,zregena,n,,
burned,zregeka,v,"ignited, singed, scorched, incinerated",
burned,zregi,adj,"burnt, singed, scorched",
burns,zregena'a,n,,
bush,ja'shan,n,shrub,
bushes,ja'shana,n,shrubs,
but,bo,cj,,
butcher,jekiit,n,,
butchers,jekiit,n,,
buy,dojtha,v,"buys, buying, purchase, purchases, purchasing",
buyer,dojthiit,n,"customer, client, consumer, purchaser",
buyers,dojthiit,n,"customers, clients, consumers, purchasers",
by,iho,adv/pr,,
cake,varbarij,n,"cupcake, cookie, pastry, muffin","Lit. ""sugar bread"""
cakes,varbarija,n,"cupcakes, cookies, pastries, muffins",
calendar,shazalko,n,,
calendars,shazalka,n,,
call,hika,v,"calls, calling, shout, shouts, shouting, yell, yells, yelling",
call,hikana,n,"shout, yell",
called,hikaka,v,"shouted, yelled",
calls,hikana'a,n,"shouts, yells",
came,kudka,v,,
camel,slarjay,n,,"Spelling changed from ""slarjei"""
camels,slarjay'a,n,,
camp,kegith,v,"camps, camping",To camp
camp,kego,n,encampment,A camp
camped,kegithka,v,,
camps,kega,n,encampments,
can,dej,v,,
can't,dejoh,v,,
candies,kisha'a,n,"bonbons, confections, treats",
candle,voleq,n,,
candles,voleqa,n,,
candy,kisha,n,"bonbon, confection, treat",
canyon,kebarr,n,"gorge, ravine, gulley",
canyons,kebarra,n,"gorges, ravines, gulleys",
capital,tarjhadat,n,,"Lit. ""power city"""
capitals,tarjhadata,n,,
captain,kapat,n,,Borrowed word
captains,kapata,n,,
caravan,za'yar,n,"convoy, cavalcade",
caravanner,za'yaritt,n,,
caravanners,za'yariit,n,,
caravans,za'yara,n,"convoys, cavalcades",
card,aferro,n,"ticket, voucher",
cards,aferra,n,"tickets, vouchers",Commonly: Playing cards
carpet,sohanid,n,rug,
carpets,sohanida,n,rugs,
carried,torewahka,v,,
carry,torewah,v,"carries, carrying",
cat,qara,n,,"Specifically non-khajiit, but can be used to refer to khajiit in a more casual/derogatory fashion"
catch,katkuri,v,catching,
catlike,qara'i,adj,feline,
catlike,qara'i,adj,,"Specifically non-khajiit, but can be used to refer to khajiit in a more casual/derogatory fashion"
cats,qara'a,n,felines,"Specifically non-khajiit, but can be used to refer to khajiit in a more casual/derogatory fashion"
caught,katkurika,v,,
cause,ka,v,"causing, causes, induce, induces, inducing",
cause,kana,n,source,
caused,kaka,v,induced,
causes,kana'a,n,sources,
cave,basik,n,"cavern, grotto",
cavelike,basiki,adj,cavernous,
caves,basika,n,"caverns, grottos",
ceiling,themer,n,,
ceilings,themera,n,,
centuries,jantoshivata,n,,
century,jantoshivat,n,,
ceremonial,sinadathi,adj,ritualistic,
ceremonies,sinadatha,n,"rituals, rites",
ceremony,sinadath,n,"ritual, rite",
certain,zav,adj,"sure, absolute, definite, confident",
certainly,zavi,adv,"surely, absolutely, definitely, truly, undoubtedly, indeed, verily",
certainty,zavina,n,"sureness, confidence",
chair,bofu,n,"stool, seat",
chairs,bofa,n,"stools, seats",
change,yena,n,,A change
change,yenith,v,"changes, changing",To change
changed,yenithka,v,,
changes,yena'a,n,,
chaos,khadok,n,"turmoil, anarchy, disarray, disorder",
chaotic,khadoki,adj,"tumultuous, disarrayed, disordered",
charm,jashe,v,"charms, charming, captivate, captivates, captivating, enthrall, enthralls, enthralling, beguile, beguiles, beguiling",
charmed,jasheka,v,"captivated, enthralled, beguiled",
charming,jashi,adj,"delightful, appealing, lovely",
cheap,jajahi,adj,"inexpensive, economical",
check,afo,v,"checks, checking, examine, examines, examining, evaluate, evaluates, evaluating, assess, assesses, assessing, inspect, inspects, inspecting, investigate, investigates, investigating, scrutinize, scrutinizes, scrutinizing",
checked,afoka,v,"examined, evaluated, assessed, inspected, investigated, scrutinized",
cheese,pihalko,n,,
cheeses,pihalka,n,,
cheesy,pihalko'i,adj,,
chick,ma'apash,n,,
chicken,bahin,n,,
chickens,bahina,n,,
chicks,ma'apasha,n,,
chieftain,t'har,n,"leader, commander, dictator, ruler, lord, boss",
chieftains,t'hara,n,"leaders, commanders, dictators, rulers, lords, bosses",
child,ma,n,"virgin, kid, youngster",
childish,ma'i,adj,,
children,ma'a,n,"virgins, kids, youngsters",
chimer,yenamer,n,"Changed Elf, Changed One, North Elf","Lit. ""changed elf"""
chimeri,yenameri,adj,,
choke,droqo,v,"chokes, choking, strangle, strangles, strangling, smother, smothers, smothering, suffocate, suffocates, suffocating, stifle, stifles, stifling, strangulate, strangulates, strangulating, throttle, throttles, throttling",
choked,droqoka,v,"strangled, smothered, suffocated, stifled, strangulated, throttled",
choking,droqi,adj,"strangling, suffocating, stifling",
choking,droqona,n,"strangling, smothering, strangulation",
chokings,droqona'a,n,"stranglings, smotherings, strangulations",
circle,zrasha,n,,A circle
circle,zrashith,v,"circles, circling",To circle
circled,zrashithka,v,,
circles,zrasha'a,n,,
cities,jhadata,n,,
city,jhadat,n,,
clan,shir,n,tribe,
clans,shira,n,tribes,
claw,khrass,n,talon,
clawless,khrassozay,adj,,
claws,khrassa,n,talons,
clay,thigul,n,,
clean,ikashith,v,"cleans, cleaning, neaten, neatens, neatening",To clean
clean,ikasho,adj,"neat, tidy",
cleaned,ikashithka,v,"neatened, tidied",
climb,khipe,v,"climbs, climbing, ascend, ascends, ascending, clamber, clambers, clambering","To climb, Lit. ""go up"""
climb,khipena,n,ascent,A climb
climbed,khipeka,v,"ascended, clambered",
climbs,khipena'a,n,ascents,
close,tas,v,"closes, closing, shut, shuts, shutting",
closed,taska,v,,
cloth,qami,n,"fabric, textile",
clothe,kathith,v,"clothes, clothing",
clothed,kathithka,v,,
clothes,katha,n,"apparel, outfit, garments, garb, clothing",
cloths,qama,n,"fabrics, textiles",
cloud,bulut,n,,
cloud,bulutith,v,"clouds, clouding, obscure, obscuring, obscures, obfuscate, obfuscating, obfuscates",
clouded,bulutihka,v,"obscured, obfuscated",
cloudless,bulutozay,adj,,
clouds,buluta,n,,
cloudy,buluti,adj,overcast,
coat,keshnip,n,jacket,A coat
coat,keshnipith,v,"coats, coating",To coat
coated,keshnipithka,v,,
coats,keshnipa,n,jackets,
cold,dush,adj,,
colonel,kerna,n,,Borrowed word
colonels,kerna'a,n,,
color,kejra,n,,A color
color,kejrith,v,"colors, coloring",To color
colored,kejrithka,v,,
colorful,kejra'i,adj,,
colorless,kejrozay,adj,,
colors,kejra'a,n,,
colt,ma'kafa,n,,
colts,ma'kafa'a,n,,
come,kud,v,"coming, comes",
comedian,fapiit,n,"joker, jokester, comic, clown, jester",
comedians,fapiit,n,"jokers, jokesters, comics, clowns, jesters",
comfort,kol,n,"solace, ease, contentment, luxury",
comfort,kolith,v,"comforts, comforting, console, consoles, consoling, hearten, heartens, heartening, reassure, reassures, reassuring",
comfortable,koli,adj,"luxurious, cozy, pleasant",
comforted,kolithka,v,"consoled, heartened, reassured",
comfortless,kolozay,adj,"uncomfortable, unpleasant",
comforts,kola,n,luxuries,
companies,sarika,n,"businesses, guilds, organizations",
company,sarik,n,"business, guild, organization",
complicate,sabith,v,"perplex, confound, confuse",
complicated,sabithka,v,"perplexed, confounded, confused",
concept,zrini,n,idea,
concepts,zrina,n,ideas,
concern,woori,v,"concerns, concerning",To concern
concern,woorina,n,,A concern
concerned,woorika,v,,
concerns,woorina'a,n,,
consonant,khojso,n,,
consonants,khojsa,n,,
contract,rifti,n,"agreement, bargain, pledge, understanding",
contracts,rifta,n,"agreements, bargains, pledges, understandings",
contradict,vano,v,"contradicts, contradicting, belie, belies, belyng, counter, counters, countering",
contradicted,vanoka,v,"belied, countered",
convince,iqna,v,"convinces, convincing, persuade, persuades, persuading, sway, sways, swaying, convert, converts, converting, coax, coaxes, coaxing",
convinced,iqnaka,v,"persuaded, swayed, converted, coaxed",
convincing,iqni,adj,"convincing, persuading, persuasive, swaying, coaxing, cogent",
cook,tajiit,n,chef,
cooks,tajiit,n,chefs,
cool,dushith,v,"cools, cooling",To become colder
cool,ja'dush,adj,,
copper,omabi,n,,
coppers,omaba,n,,
coppery,omabi'i,adj,,
corn,marsho,n,,
corner,kojoz,n,,
corners,kojoza,n,,
corporal,korpo,n,,Borrowed word
corporals,korpa,n,,
could,dejka,v,,
couldn't,dejohka,v,,
count,okuvo,v,"counts, counting, score, scores, scoring, tally, tallies, tallying",
count,okuvona,n,"score, tally",
counted,okuvoka,v,,
countries,renada,n,kingdoms,
country,renad,n,kingdom,
counts,okuvona'a,n,"scores, tallies",
course,draqo,n,"path, way",
courses,draqa,n,"paths, ways",
cousin,kimer,n,,
cousins,kimera,n,,
cow,mezub,n,bull,
coward,qojiit,n,wimp,
cowards,qojiit,n,wimps,
cows,mezuba,n,"cattle, bulls",
cried,iboka,v,"howled, lamented, sobbed",
cross,khivado,v,"crosses, crossing","Lit. ""go over"""
crossed,khivadoka,v,,
crowd,jakakan,n,,A crowd
crowd,jakakanith,v,"crowds, crowding",To crowd
crowded,jakakani,adj,,
crowds,jakakana,n,,
cry,ibo,v,"cries, crying, howl, howls, howling, lament, laments, lamenting, sob, sobs, sobbing",
cuirass,shutedri,n,"breastplate, bodyarmor, brigandine, hauberk","Lit. ""body armor"""
cuirasses,shutedra,n,"breastplates, bodyarmors, brigandines, hauberks",
cup,pavuj,n,"mug, stein, goblet, chalice",
cups,pavuja,n,"mugs, steins, goblets, chalices",
curiosities,dosana'a,n,,
curiosity,dosana,n,,
curious,dosa,adj,"inquisitive, interested",
curved,gasefi,adj,curvy,
cut,jeta,v,"cuts, cutting, slice, slices, slicing, lacerate, lacerates, lacerating",
cut,jetaka,v,"cut, sliced, lacerated",
cut,jetana,n,"slice, laceration",
cuts,jetana'a,n,"slices, laceration",
daedra,athranzoh,n,,"Lit. ""spirit ancestor not"""
dance,zha'ja,n/v,"dances, dancing","Irregular: ""A dance"" and ""to dance"""
danced,zha'jaka,v,,
dancer,zhajiit,n,,
dancers,zhajiit,n,,
dances,zha'ja'a,n,,
dark,mor,adj,,
darkness,morna,n,,
date,mosi,n,,Calendar date
daughter,tal,n,,
daughters,tala,n,,
dawn,srenaz,n,daybreak,
dawns,srenaza,n,,
day,pal,n,,
days,pala,n,,
dead,sallidad,adj,,
deaf,arozay,adj,,
deafness,arozayna,n,,
death,sallidadna,n,,
decade,deshivat,n,,
decades,deshivata,n,,
december,luksilla,n,Evening Star,"Abbreviation: ""Ls"""
decide,qidra,v,"decides, deciding, choose, chooses, choosing, determine, determines, determining, pick, picks, picking, select, selects, selecting",
decided,qidraka,v,"chose, determined, picked, selected",
deep,duto,adj,,
defend,rasin,v,"defends, defending, protect, protects, protecting, shield, shields, shielding, secure, secures, securing",
defended,rasinka,v,"protected, guarded, shielded, secured",
defender,rasiniit,n,"guard, protector",
defenders,rasiniit,n,"guards, protectors",
defense,rasina,n,"protection, security",
defenseless,rasinozay,adj,,
defenses,rasina'a,n,,
departure,gadana,n,"farewell, exit",
departures,gadana'a,n,"farewells, exits",
depth,dutona,n,,
desert,khaj,n,,"Homonym of ""sand"""
deserts,khaja,n,,
deserty,khaji,adj,,
deserve,derabi,v,"deserves, deserving",
deserved,derabika,v,,
desire,kasash,n,wish,
desires,kasasha,n,wishes,
despite,thzuvith,pr,,
diamond,alaran,n,,
diamonds,alarana,n,,
did,sajka,v,done,
die,sallidith,v,"dies, dying, expire, expires, expiring, perish, perishes, perishing",
died,sallidithka,v,"expired, perished",
different,tejo,adj,"dissimilar, unalike, unlike, contrasting, disparate, distinctive",
difficult,saba,adj,"hard, challenging, arduous, tough, laborious, complex, tricky, intricate",
difficulties,sabana'a,n,"dilemmas, quandries, complications, predicaments, snags, intricacies, complexities",
difficulty,sabana,n,"dilemma, quandry, complication, predicament, snag, intricacy, complexity",
dig,zrade,v,"digs, digging",
dinner,toj'do,n,supper,
dinners,toj'do'a,n,suppers,
dirt,fiba,n,soil,
dirty,fiba'i,adj,soiled,
disappear,dekith,v,"disappears, disappearing, vanish, vanishes, vanishing",
disappearance,dek,n,,
disappeared,dekithka,v,vanished,
discover,adrak,v,"discovers, discovering",
discovered,adraka,v,,
discoveries,adrakna'a,n,,
discovery,adrakna,n,,
disease,skromu,n,"sickness, pestilence, plague, virus, illness",
diseased,srkomu'i,adj,,
diseases,skroma,n,"sicknesses, pestilences, plagues, viruses, illnesses",
distance,valana,n,,
divorce,rejizevithoh,v,"divorces, divorcing",
divorced,rejizevithohka,v,,
do,saj,v,"does, doing",
doctor,danzaliit,n,"physician, surgeon, medic",
doctors,danzaliit,n,"physicians, surgeons, medics",
dog,rian,n,doggy,
doglike,riani,adj,canine,
dogs,riana,n,"canines, doggies",
dominate,vadaj,v,"dominates, dominating",
dominated,vadajka,v,,
domination,vadajna,n,,
donate,durrarriss,v,"donates, donating",
donated,durrarrisska,v,,
door,bago,n,gate,
doors,baga,n,gates,
dot,puk,n,"point, spot",
dots,puka,n,"points, spots",
down,fema,adj/adv/pr/v,,
drank,tojaka,v,"gulped, guzzled, swigged",
draw,pish,v,"draws, drawing, sketch, sketches, sketching",
drawing,pishna,n,sketch,
drawings,pishna'a,n,sketches,
dream,aydith,v,"dreams, dreaming, fantasize, fantasizes, fantasizing",
dream,aydo,n,fantasy,
dreamed,aydithka,v,"dreamt, fantasized",
dreams,ayda,n,fantasies,
dreamy,aydi,adj,"dreamlike, fantastic, fantastical",
dress,shuji,n,gown,
dresses,shuja,n,gowns,
drew,pishka,v,sketched,
drink,toja,v,"drinks, drinking, gulp, gulps, gulping, guzzle, guzzles, guzzling, swig, swigs, swigging",
drug,raszai,n,,"A drug, negative connotation, not used for medicine"
drug,raszith,v,"drugs, drugging","To drug, negative connotation, not used for medicine"
drugs,raszai'a,n,,"Negative connotation, not used for medicine"
drum,barot,n,,A drum
drum,barotith,v,"drums, drumming",To drum
drummed,barotithka,v,,
drums,barota,n,,
drunk,zrajiti,adj,"intoxicated, inebriated, tipsy",
dry,sukha,adj,,
dryness,sukhana,n,,
dug,zradeka,v,,
dull,dran,adj,,
dull,dranith,v,"dulls, dulling",To dull
dulled,dranithka,v,,
dunmer,mormer,n,,"Lit. ""Dark Elf"""
dunmeri,mormeri,adj,,
during,tokono,pr,,"Lit: ""at time"""
dusk,balis,n,,
dusks,balisa,n,,
dust,jiksho,n,,
dusty,jiksho'i,adj,,
dwemer,dutomer,n,dwarf,"Lit. ""Deep Elf"""
dwemeri,dutomeri,adj,dwarven,
ear,liha,n,,
early,oon,n,,
earn,kaba,v,"earns, earning, profit, profiting, profits",
earned,kabaka,v,profited,
earning,kabana,n,"salary, wage, payment, compensation, profit",
earnings,kabana'a,n,"salaries, wages, payments, compensations, profits",
ears,liha'a,n,,
east,obe,adj/adv/n,,
eat,rito,v,"eats, eating, ingest, ingests, ingesting, consume, consumes, consuming",
echo,yadi,n,,
echo,yadith,v,"echoes, echoing",
echoed,yadithka,v,,
echoes,yada,n,,
edge,jazrab,n,,
edges,jazraba,n,,
egg,oeva,n,,
eggs,oeva'a,n,,
eight,zi,n,,
eighth,zitu,adj/adv/n,,Ordinals: number +tu
eighty,zide,n,,
either,vayma,adv/pr,,
elbow,maku,n,,
elbows,maka,n,,
eleventh,defatu,adj/adv/n,,Ordinals: number +tu
empower,tarjith,v,"empowers, empowering",
empowered,tarjithka,v,,
end,hano,v,"ends, ending, complete, completing, completes, finish, finishing, finishes, conclude, concluding, concludes",
end,hanona,n,"ending, completion, conclusion",
ended,hanoka,v,"completed, finished, concluded",
endless,hanozay,adj,"perpetual, eternal, unending, ceaseless, everlasting, interminable, incessant, infinite, boundless, limitless",
ends,hanona'a,n,"endings, completions, conclusions",
enemies,akriit,n,"adversaries, antagonists, opponents",
enemy,akriit,n,"opposition, adversary, antagonist, opponent",
enjoy,kefa,v,"enjoys, enjoying, like, likes, liking, relish, relishes, relishing, appreciate, appreciates, appreciating, fancy, fancies, fancying",
enjoyed,kefaka,v,"liked, relished, appreciated, fancied",
enslave,ketith,v,"enslaves, enslaving",
enslaved,ketithka,v,,
entirely,tsin'ri,adv,"wholly, completely, totally, fully",
envied,yarithka,v,coveted,
envious,yari,adj,"jealous, covetous",
envy,yara,n,jealousy,
envy,yarith,v,"envies, envying, covet, covets, coveting",
era,drithzaed,n,,
eras,drithzaeda,n,,
escape,lhajiito,v,"escapes, escaping, flee, flees, fleeing, retreat, retreats, retreating",
escaped,lhajiitoka,v,"fled, retreated",
etiquette,esashi,n,"decorum, protocol, manners",
even,hata,adv,,Emphasis word
even,utrith,v,"evens, evening, level, levels, leveling, smooth, smooths, smoothing, balance, balances, balancing, equate, equates, equating",
even,utro,adj,"level, smooth, regular, uniform, balanced, flush, equal",
evened,utrithka,v,"leveled, smoothed, balanced, equated",
evening,salatenurr,n,"dusk, twilight, nightfall, evenfall, eve","Lit. ""luminous night"""
evenings,salatenurra,n,,
evenness,utrona,n,"levelness, smoothness, regularity, uniformity, balance, flushness, equality",
every,raj,adj,,
everything,skra'il,pn,,
evil,draj,n,,
evils,draja,n,,
examination,afona,n,"evaluation, assessment, inspection, investigation",
